,area_of_operation,eng_organization,outcome_goal,size_peak
280,El Salvador,National Resistance Armed Forces,establish communist state in El Salvador,200.0
281,Libya; Afghanistan,Libyan Islamic Fighting Group (LIFG),replace Libyan regime with Islamist state; establish Islamist state in Libya,1000.0
282,Morocco; Spain,Moroccan Islamic Combatant Group,replace regime with Islamist state,100.0
283,Guatemala,Guatemalan National Revolutionary Unity,replace Guatemalan regime with socialist state; establish leftist government in Guatemala,10000.0
284,Guatemala,Guatemalan Party of Labour,establish communist state in Guatemala/establish socialist government in Guatemala,1300.0
285,Spain,Revolution,establish independent Trotskyite-Basque state,10.0
286,Israel; disputed territories,Terror against Terror,end Palestinian terrorism,10.0
287,Dominican Republic,14th of June Movement,overthrow Trujillo regime,300.0
288,El Salvador,Clara Elizabeth Ramirez Front (CERF),establish communist state in El Salvador,20.0
289,Honduras,Lorenzo Zelaya Popular Revolutionary Forces,establish communist state in Honduras,300.0
290,United States,Popular Army of Boricua,establish independent Puerto Rican state,5700.0
291,Colombia,Ricardo Franco Front,establish leftist government in Colombia,100.0
292,India,Dal Khalsa/National Council of Khalistan (NCK),establish independent Khalistan,200.0
293,India,Khalistan Armed Force/Dashmesh Regiment,establish independent Khalistan,200.0
294,United States,Armed Forces of National Liberation ,establish socialist-Puerto Rican state,45.0
295,Turkey; Europe,Grey Wolves,defeat anti-Turkish movements in Turkey,300000.0
296,United States,Cuban Nationalist Movement,replace communist regime in Cuba with liberal-democracy,10.0
297,United States,United Freedom Front (UFF)/Sam Melville-Jonathan Jackson Unit,precipiate communist revolution in the U.S.,10.0
298,Burma; Thailand,All Burma Students' Democratic Front (ABSDF)/Vigorous Burmese Student Warriors (VBSW),topple Myanmar regime,300.0
299,United States; Cuba,Alpha 66,replace communist regime in Cuba with liberal-democracy,10.0
300,Nicaragua; Honduras,Nicaraguan Democratic Force,topple the Sandinista regime,100.0
301,Colombia,People Persecuted by Pablo Escobar,eliminate the Medellian cartel,100.0
302,Sri Lanka,Revolutionary Eelam Organization of Students (EROS)/Eelavar Democratic Front,establish independent Tamil state; institute socialism in Sri Lanka,229877.0
303,Pakistan,Decade of Decadence anti-Khan movement [bloc: Pakistani People's Party; National Student Federation; Student Action Committee; Pakistan Federal Union of Journalists],overthrow Khan regime,3000.0
304,United States,Ku Klux Klan (KKK)/White League/Red Shirts,establish Democratic hegemony in the South; preserve white protestant supremacy in the U.S.; establish segregated state in the U.S.,4500000.0
305,United States,Aryan Nations (AN)/The Order,establish White-supremacist state in the U.S.,2200.0
306,United States,"Covenant, Sword, and Arm of the Lord (CSA)",establish White-supremacist state in the U.S.,100.0
307,Yugoslavia,Resistance!,overthrow Milosevic and democratize Serbia,2474392.0
308,South Africa,Defiance Campaign,overthrow South African regime,10000.0
309,India,National-Socialist Council of Nagaland (NSCN)/National-Socialist Council of Nagaland (Isak-Muivah),establish independent Nagalim state,5000.0
310,India,National-Socialist Council of Nagaland (Khaplang),establish independent Nagalim state,3000.0
311,Syria,Front for the Support for the People of the Levant,replace Syrian regime with Islamist state,7000.0
312,Syria,Free Syrian Army (FSA),replace Syrian regime with Islamo-nationalist state,80000.0
313,United States,Black Liberation Army,establish Black-socialist state in the U.S.,200.0
314,Lebanon,Palestinian National Salvation Front (PNSF),eliminate pro-Arafat organizations,1000.0
315,South Africa,Pan-Africanist Congress/Pan-Africanist Congress of Azania/Alone for Africans Only (POQO)/Azanian Peoples Liberation Army (APLA)/Pan-Africanist Congress of Azania,replace South African regime with pan-African socialist state,306747.0
316,Syria,Assembly of the Supporters of Islam,overthrow Syrian regime,50.0
317,Syria,Banner of Islam,overthrow Syrian regime,25000.0
318,Egypt; Israel; Gaza,Sinai Province,institute shari'a in Jerusalem and the Sinai,200.0
319,Israel; Gaza,Monotheism and Jihad in Palestine,replace Israel with Islamist state,50.0
320,Saudi Arabia,Hezbollah Gulf,replace Saudi regime with Islamist state,80.0
321,Mali,Movement for Oneness and Jihad in West Africa,establish Islamist state in West Africa,2000.0
322,Pakistan; Iran ,Baloch Liberation Front (BLF)/Baloch Student Organization-Azad (BSO-Azad),establish independent Balochistan,6000.0
323,Nepal,Democratic Terai Liberation Front/All Terai Liberation Front,establish independent Terai state,3000.0
324,Nepal,Janatantrik Terai Mukti Morcha-Jwala Singh,establish independent Terai state,300.0
325,Nepal,Janatantrik Terai Mukti Morcha-Rajan Mukti/Terai Communist Party,establish communist-Terai state,100.0
326,Nepal,Samyukta Jatiya Mukti Morcha (SJMM),lure poor/minority support away from Maoists to Hinduism,10.0
327,Nepal,Madhesi Mukti Tigers (MMT),establish independent Terai State,50.0
328,Nepal,Mahan Madhesh Janakantrik Party (MMJP),overthrow Nepalese state,10.0
329,Nepal,Madhesh Rastra Janatantrik Revolutionary (RJR),establish independent Terai state,50.0
330,Nepal,Madhesi People's Rights Forum,establish Madhesi autonomous region,678327.0
331,Nepal,Kirat Janabadi Workers' Party (KJWP),establish independent Kirat state,20.0
332,Burma,Karen National Union (KNU)/Karen National Liberation Army,establish independent Karen state; establish autonomous Karen region,8000.0
333,Burma,Karenni National Progressive Party (KNPP)/Karenni Army,establish independent Karen state,1100.0
334,Burma,Shan State Independence Army (SSIA)/Shan State Army (SSA)/Shan State Progressive Party/Shan State Army--North (SSA-N),establish independent Shan state,12000.0
335,Burma,Burma Communist Party (BCP)/Burma Communist Party (BCP) [White Flags],establish communist state in Burma,15000.0
336,India,Adivasi People's Army (APA),support ULFA's effort to establish an independent Assamese state  ,50.0
337,India,People's United Liberation Front (PULF),establish Islamic-Pangal state in Manipur,140.0
338,India; Pakistan,al-Umar Mujahedin,unify Kashmir with Pakistan,700.0
339,India,Garo National Liberation Army (GNLA),establish independent Garoland,75.0
340,India; Burma; Bangladesh,A'chik National Volunteer Council (ANVC),establish independent Achikland; establish autonomous Achik district,500.0
341,India,People's Liberation Front of India (PLFI)/Jharkhand Liberation Tigers (JLT),establish small independent Maoist state,300.0
342,India,Bodo Liberation Tigers,establish autonomous Bodo state,3000.0
343,India,United Democratic Liberation Army (UDLA)/United Democratic Liberation Front (UDLF),establish Reang autonomy,200.0
344,India,Karbi People's Liberation Tigers/Karbi Longri National Liberation Front-Anti-Talks Faction,establish autonomous Karbi state in Assam,25.0
345,South Asia,Muslim United Liberation Tigers of Assam (MULTA),establish Islamist state in Assam,1000.0
346,India,Third Prepatory Committee,eliminate CPI-M,70.0
347,India,Adivasi Cobra Militant Force of Assam (ACMFA),establish autonomous region for Adivasi peoples,400.0
348,India,Hill Tiger Force (HTF),gain autonomy from India,50.0
349,India,Students Islamic Movement of India (SIMI),establish autonomous region in India,20000.0
350,India,People's Committee against Police Atrocities (PCAPA)/Jana Militia,expel Indian police from Adivasi areas,30.0
351,India,Dima Halam Daoga (DHD)/Dima Halam Daoga-Jewel (DHD-J)/The Black Widow,establish independent (Dimasa) Dimaraji state,800.0
352,India,Kangleipak Communist Party (KCP)/Maoist Communist Party of Manipur/New People's Militia,establish independent Manipur state,350.0
353,India,Kuki Revolutionary Army (KRA),establish autonomous Kuki state,600.0
354,India,Kuki Liberation Organization (KLO)/Kuki Liberation Army,establish independent Kuki state,150.0
355,India,Zeliangrong United Front (ZUF)/Zeliangrong Tiger Force,establish autonomous Zeliangrong region,210.0
356,India,All Adivasi National Liberation Army (AANLA),establish autonomy for Adivasi peoples,100.0
357,Pakistan,Sindhudesh Liberation Army,establish independent Sindhu Desh,100.0
358,Pakistan; Afghanistan,Pakistan Liberation Army/al-Zulfikar Organization (AZO),overthrow ul-Haq regime; establish independent Sindh state,40.0
359,Pakistan; India,Jamaat-e Islami (JeI)/Islami Jamiat-e Talaba (IJT),establish Islamic state in India; Islamize the Pakistani state,10000.0
360,Bangladesh,Awami League/Bangladesh Chhatra League/East Pakistan Student League,establish center-left Bangladesh; preserve center-left Bangladesh,20000.0
361,Balochistan,Baloch Republican Army (BRA),establish independent Balochistan,500.0
362,Senegal,Movement of Democratic Forces of Casamance (MFDC)/Atika,establish independent Jola state,1000.0
363,Germany,Hekla Reception Committee (HRC)--Initiative for More Social Eruptions,topple the international system,10.0
364,Paraguay,Paraguayan People's Army,establish socialist state in Paraguay,150.0
365,Italy,Front Line,establish communist state in Italy,2500.0
366,Venezuela,Red Flag,establish Maoist state in Venezuela,10000.0
367,Italy,Armed Revolutionary Nuclei/Black Order,reestablish fascist state in Italy,70.0
368,Libya,Islamic Martyrs Movement,overthrow Qaddafi's regime,30.0
369,Haiti; U.S.,Hector Riobe Brigade (HRB),overthrow Duvalier regime,15.0
370,France; Spain,Northerners,establish independent Basque state,20.0
371,UK; Ireland,INLA General HQ Faction,eliminate INLA,30.0
372,Israel,Jewish Underground,eliminate Israel's enemies in Israel,30.0
373,Estonia,Singing Revolution/Rahvarinne [bloc: Heritage Society; the Popular Front; Estonian National Independence Party (ENIP); Citizens' Committees Movement (CCM)]/Estonian anti-Soviet movement,establish independent Estonian state,860000.0
374,South Africa,People against Gangsterism and Drugs (PAGAD)/Muslims against Illegal leaders (MAIL)/Muslims against Global Oppression (MAGO),eliminate drug trade in Muslim areas of South Africa,300.0
375,U.S.,May 19th Communist Order/Revolutionary Armed Task Force/Revolutionary Fighting Group/Red Guerrilla Resistance,establish communist state,34.0
376,Argentina,People's Revolutionary Organization,establish communist state in Argentina,10.0
377,Colombia,Peasant Self-Defense Groups Cordoba and Uraba,eliminate FARC-EP,1000.0
378,Syria; Lebanon,Arab Socialist Union (ASU)/al-Gama'a al-'Arabiyya Misr,establish Nasserite state in the Levant,10000.0
379,Bolivia,Zarate Willka Armed Forces of Liberation (ZWAFL),eliminate U.S. presence in Bolivia,10.0
380,Burundi,National Front for the Revolution in Burundi ,overthrow regime,40.0
381,Italy,Italian Social Movement ,reestablish fascist state in Italy,2894722.0
382,Malaysia,Malaysian Holy Warrior Group,establish Islamic state in Southeast Asia,80.0
383,U.S.,Army of God (AOG),end abortion in the U.S.,10.0
384,Thailand; Malaysia,Barisan Revolusi Nasional-Melayu Pattani (BRN)/Angkatan Bersenjata Revolusi Pattani (ABREP)/Urban Guerrilla Brigade,establish independent Islamo-socialist state in Pattani,2300.0
385,Mexico ,Zapatista Army of National Liberation,establish autonomous region,10000.0
386,Yemen,Southern Mobility Movement (SMM),reestablish South Yemen state,200.0
387,Chile,Arauco Malleco Coordinating Group,establish independent Mapuche state,80.0
388,Sudan,Justice and Equality Movement (JEM),overthrow regime,35000.0
389,Central African Republic,Convention of Patriots for Justice and Peace (CPJP),gain control of diamond mines,7000.0
390,N. Ireland,Irish Republican Army [New],unify Northern Ireland with Ireland,100.0
391,Switzerland,Revolutionary Perspective,establish communist state,10.0
392,Tajikistan,Jamaat Ansarullah,establish Islamist state in Tajikistan,15.0
393,Chile; Europe,Proletarian Action Group (PAG),establish communist state,10.0
394,U.S.,American Indian Movement (AIM),gain control over more land and economic and cultural independence,1000.0
395,Libya,Zintan Milita (ZM),replace regime,10000.0
396,Russia,Heaven,establish Islamist state,15.0
397,Cameroon; Nigeria,African Marine Commando/Bakassi Freedom Fighters (BFF),establish independent Bakassi state,40.0
398,Ecuador,Revolutionary Insurgent Armed Forces of Ecuador,overthrow Ecuadoran regime,60.0
399,France,Breton Liberation Front ,establish independent Breton state,20.0
400,Namibia; South Africa; Angola; Zambia; Botswana,South-West Africa People's Organization (SWAPO)/People's Liberation Army of Namibia,establish Namibian state,10000.0
401,Cyprus,National Organization of Cypriot Fighters III,unify Cyprus with Greece,50.0
402,Pakistan,Global Holy Warriors Movement,reestablish the Islamic Caliphate,70.0
403,Algeria,Movement for Self-Determination and Independence for the Canary Islands Archipelago,establish independent Canary Islands state,100.0
404,India,Indian National Congress,establish independent Indian state,200000.0
405,Italy,Revolutionary Action ,establish libertarian system,10.0
406,Pakistan,Movement for the Restoration of Democracy (MRD),replace ul-Haq regime with democratic government ,50000.0
407,Pakistan,Men-In-Black/Lawyers' Movement,oust Musharraf from power; restore dismissed judges,500000.0
408,Bangladesh,anti-Ershad movement,overthrow Ershad regime,100000.0
409,Iran,Islamic Revolution,overthrow the Shah,2000000.0
410,Iran,anti-Khamenei student movement [bloc: ACC Student Supporters; Tabriz University student movement],establish democracy in Iran,20000.0
411,Iran,Green Movement,replace Islamic regime with democratic government,500000.0
412,Saudi Arabia,Association for the Protection and Defense of Women's Rights in Saudi Arabia,institute policy reforms regarding women,1100.0
413,Ireland; UK,Loyalist Volunteer Forces (LVF),prevent republican succession,300.0
414,Egypt,Lotus Revolution [bloc: al-Ikhwan al-Muslimin; pro-democracy supporters],overthrow Mubarak regime,2000000.0
415,Sudan,anti-Nimeiry movement [bloc: professionals; students; Communist Party; Trade Union Assembly for National Salvation; SPLA],overthrow Nimiery regime,5000.0
416,Morocco,February 20 Movement for Change,institute democratic and economic reforms,60000.0
417,Middle East; Central Asia; Europe,Hizb ul-Tahrir al-Islami (HTI) [al-Quds],reinstitute the Islamic Caliphate; eliminate Israel,1000000.0
418,Israel,Druze protest movement,reverse Israel's annexation of the Golan,50000.0
419,Israel,Uprising/Unified National Leadership of the Uprising (UNLU),establish Palestinian state,150000.0
420,Israel; Gaza,Orange Resistance to Disengagement,prevent Israeli withdrawal from Gaza,300000.0
421,Israel,Social Justice Movement/Cottage Cheese Revolution,reinstitute socialism in Israel,350000.0
422,Lebanon,Cedar Revolution [bloc: March 14th Alliance; Progressive Socialist Party],end Syria's occupation of Lebanon,750000.0
423,Turkey,Free Öcalan Movement,gain the release of Öcalan,1000.0
424,Greece,anti-Karamanlis movement/Centre Union,oust Karamanlis from power,500000.0
425,Greece,New Democracy (precursor),replace junta with democratic state,2500.0
426,Greece,Anti-Austerity Movement,prevent the enactment of austerity measures,200000.0
427,global,The Base,reestablish the Islamic Caliphate,1000.0
428,Netherlands,Militant Autonomist Front,eliminate property in the Netherlands,10.0
429,Denmark,Danish Freedom Council,expel Nazis from Denmark,100000.0
430,Hungary,Hungarian anti-Soviet student movement ,democratize Hungary,30000.0
431,Hungary,Hungarian pro-democracy movement [bloc: Fidesz; Hungarian Democratic Forum; Christian Democratic People's Party],democratize Hungary,350000.0
432,Czechoslovakia,Prague Spring/Czechoslovakian anti-Soviet student movement ,prevent Sovietization of Czechoslovakia ,1000000.0
433,Czechoslovakia,Socialist Union of Youth/Civic Forum/Velvet Revolution/Gentle Revolution,democratize Czechoslovakia,1000000.0
434,Slovakia,Public Against Violence,democratize Czechoslovakia; establish independent and democratic Slovakian state,500000.0
435,Kyrgyzstan,Kyrgyzstan Democratic Movement,establish independent Kyrgyzstan,20000.0
436,Kyrgyzstan,Tulip Revolution,overthrow Akayev regime,20000.0
437,Romania,National Salvation Front/Democratic Party,replace regime with democratic government,100000.0
438,Pakistan,Students Movement,replace Pakistan regime with shari'a state,50000.0
439,East Germany,Volksaufstand in Der DDR/construction workers,overthrow communist regime,400000.0
440,global,Egyptian Islamic Jihad (EIJ),establish Islamic state in Egypt,3000.0
441,Poland,Poznań June,institute economic reforms,100000.0
442,Poland,Polish anti-Soviet student movement ,institute democratic reforms,20000.0
443,Poland,Solidarity Movement/Independent Party,replace regime with democratic state,900000.0
444,Georgia,Rose Revolution/United National Movement (UNM),oust Shevardnadze from power,30000.0
445,Lithuania,Movement/Reform Movement of Lithuania,establish independent Lithuanian state,250000.0
446,Russia,Democratic Russia Movement (DRM),establish a democratic state in Russia,300000.0
447,U.S.; Canada; Italy,Jewish Armed Resistance (JAR)/Jewish Armed Resistance Strike Group,free Jews from Soviet Union; counter the PLO,10.0
448,Latvia,Days of Barricades/Latvian anti-Soviet movement [bloc: Helsinki '86; Citizens' Movement; Citizens' Congress; Latvian People's Front; Latvian National Independence Movement; Supreme Council],establish independent Latvian state,500000.0
449,Ukraine,Orange Revolution/Nasha Ukrayina/Pora/anti-Kuchma movement/Ukrayina bez Kuchmy movement [bloc: opposition parties; Ukrainian Socialist Party; Ukrainian National Assembly-Ukrainian National Self-Defense; Ukrainian Communist Party],democratize Ukraine,500000.0
450,Belarus,anti-government movement,establish independent Belarusian state,100000.0
451,Belarus,Jeans Revolution,remove Lukashenko from office,40000.0
452,Albania,anti-government movement,replace regime with democratic state ,50000.0
453,Cuba,Cuban democracy movement/Assembly to Promote the Civil Society/Movimiento Alternativa Republicana/Consejo Nacional de Resistencia Cívica,replace Castro regime with democratic state,1000.0
454,Slovenia,Committee for the Defense of Human Rights/Democratic Opposition of Slovenia (DEMOS),institute democratic elections,750000.0
455,Yugoslavia,student protests,institute democratic reforms,10000.0
456,Yugoslavia,Croatian Spring,institute democratic and economic reforms,10000.0
457,Yugoslavia,Kosovar-Albanian student movement,establish autonomous Kosovar region,20000.0
458,Yugoslavia,Kosovar-Albanian independence movement,establish independent Kosovar state; establish autonomous Kosovar region,400000.0
459,Greece,Chaotic Attack Front,topple the international system,10.0
460,U.S.; Pakistan,Community of the Impoverished,establish Islamist states in India and the U.S.,3000.0
461,Spain; France; Switzerland,Iberian Liberation Movement,overthrow Spain and replace it with a communist system,10.0
462,Madagascar,pro-Ravalomanana movement,install democratically elected president,1000000.0
463,Nigeria,Independence Movement/Zikist Movement,establish Zikist state,1000.0
464,Nigeria,Movement for the Survival of the Ogoni People (MOSOP) [umbrella],expel foreign oil companies from Niger Delta region,300000.0
465,Nigeria,June 12 Struggle [anti-Abacha bloc: National Democratic Coalition (NADECO); Campaign for Democracy (CD)],establish civilian rule ,1000000.0
466,Zambia,United National Independence Party (UNIP),establish independent Zambian state,50000.0
467,Zambia,Movement for Multi-Party Democracy (MMD),oust UNIP from power,23000.0
468,Zambia,anti-Chiluba movement/United Democratic Alliance [bloc: United Party for National Development (UPND); United National Independence Party (UNIP); Forum for Democracy and Development (FDD)],overthrow Chiluba regime,877456.0
469,Ghana,Convention People's Party,establish autonomous Gold Coast region; establish independent Ghanaian state,50000.0
470,Ghana,New Patriotic Party,oust Rawlings from power; institute liberal-democratic government in Ghana ,3576771.0
471,Malawi,Malawi Congress Party/Nyasaland African Congress/Nyasaland Education African Council,establish independent Malawi state,50000.0
472,Malawi,anti-Banda movement [bloc: Catholic Church; university students; army officers; textile workers; United Front for Multiparty Democracy; Christian Council of Malawi; CCAP; Alliance for Democracy (AFORD); UDF],replace MCP regime with multi-party system,10000.0
473,Iraq,Islamic Front for the Iraqi Resistance,establish Islamist state in Iraq,50.0
474,Israel; disputed territories,Kahane Lives,expand the territorial borders of Israel,50.0
475,Niger,government reform movement,increase female role in political representation,10000.0
476,Senegal,anti-Diouf movement/Senegalese Democratic Party (PDS),oust Diouf from power,5000.0
477,Benin,anti-Kérékou movement [bloc: students; civil servants; Communist Party of Dahomey; National Union of Teachers in Higher Institutions],oust Kérékou from power,70000.0
478,Mexico,National Action Party,end the PRI's election fraud,100000.0
479,Mexico,anti-Caldéron movement/Party of the Democratic Revolution,prevent Caldéron from taking office,1000000.0
480,U.S.,"Battle of Seattle [bloc: Direct Action Network; Black Bloc; People's Global Action; AFL-CIO; student protestors; Jubilee 2000; ""blue-green alliance""]",end globalization,40000.0
481,U.S.,Occupy Wallstreet,institute socialist system,100000.0
482,U.S.,Dream Defenders,"free Black ""political prisoners""/legalize illegal aliens in the U.S.",350.0
483,Guatemala,October Revolutionaries,oust Ubico from power,50000.0
484,Chile,anti-Pinochet movement [bloc: unions; left-wing parties; Concertación de Partidos por el No; Concertación de Partidos por la Democracia],oust Pinochet from power,3967569.0
485,Panama,National Civic Crusade,oust Noriega from power,400.0
486,Brazil,Direct Now,democratize Brazil,1500000.0
487,Guatemala,Guerrilla Army of the Poor,replace Guatemalan regime with socialist state; reform Guatemalan socialist policies,6000.0
488,El Salvador,anti-junta movement,overthrow junta,50000.0
489,Venezuela,anti-Jimenez civilian-military movement/Democratic Action,oust Jiménez from power,50000.0
490,Peru,The March of the Four Directions,oust Fujimori from power,100000.0
491,Columbia,No More,end FARC-government war,13000000.0
492,Guyana,People's Progressive Party (PPP)/Indo-Guyanese movement,establish a democratic state in Guyana,162058.0
493,Uruguay,Tiranos Temblad! Movement [bloc: Partido Colorado; other left-wing parties; Asociación Social y Cultural de Estudiantes de la Enseñanza Pública (ASCEEP); Plenario Intersindical de Trabajadores (PIT); Frente Amplio (FA)],institute democratic reforms,150000.0
494,Argentina,pro-democracy movement [bloc: Unión Cívica Radical; Las Madres],democratize Argentina,50000.0
495,Haiti,Operation Uprising,overthrow Duvalier regime,30000.0
496,Germany,Patriotic Europeans Against the Islamization of the West ,reduce Muslim immigration to Europe,25000.0
497,East Timor,National Council of Maubere Resistance/National Council of Timorese Resistance,establish independent East Timorese state,6000.0
498,Lebanon,Islam's Conquest,implement shari'a in Palestinian areas of Lebanon,200.0
499,France,We Shall Blow Everything Up,independence for Occitania and Corsica,10.0
500,China,Democracy Movement,establish democracy in China,100000.0
501,Sri Lanka,Tamil Tigers,establish independent Tamil state; establish autonomous Tamil region,18000.0
502,China,Tiananmen Square protests [bloc: students; factory workers; anarchists],democratize China,1000000.0
503,Afghanistan; Pakistan,Haqqani Network/Tanzim,replace Afghan regime with Islamist state,15000.0
504,Taiwan,anti-martial law movement [Democratic Progressive Party (DPP) precursor],democratize Taiwan,5000.0
505,Philippines,Moro Islamic Liberation Front (MILF)/The New Leadership,establish Islamist-Bangsamoro state; establish autonomous Bangsamoro region; establish Bangsamoro sub-national state,15000.0
506,South Korea,anti-junta movement [bloc: students; labor unions],overthrow junta,100000.0
507,South Korea,National Movement Headquarters for Democratic Constitution (NMHDC) [umbrella],democratize South Korea,1000000.0
508,France,Direct Action,precipitate communist revolution in Europe,100.0
509,Philippines,EDSA II,force Estrada from office,500000.0
510,Thailand,National Student Center of Thailand (NSCT),oust Thanom from power,410000.0
511,Thailand,pro-democracy movement [bloc: Student Federation; Campaign for Popular Democracy; Confederation for Democracy],democratize Thailand,500000.0
512,Thailand,People's Alliance for Democracy (PAD)/anti-Thaksin movement,oust Thaksin from power,100000.0
513,Nepal,Jana Andolan' [bloc: Nepali Congress; United Left Front],establish multi-party democratic system in Nepal,200000.0
514,Nepal,Seven Party Alliance (SPA),establish democratic institutions in Nepal,300000.0
515,Thailand,New Force/Ninth Force,eliminate communists from Thailand,500000.0
516,Burma,Saffron Revolution [bloc: All Burma Monks' Alliance; students; women's rights activists],establish democracy and institute economic reforms,130000.0
517,Lebanon; France,Free Patriotic Movement (FPM),legitimize Aoun's government/make Aoun Lebanon's president,300000.0
518,Lebanon,pro-Syria movement (Lebanon),preserve Syrian occupation,500000.0
519,Lebanon,anti-sham elections movement [bloc: Aounists; LF; Maronite patriarch followers],prevent sham elections,800000.0
520,Lebanon,pro-Lebanese Armed Forces/anti-Palestinian movement,encourage Lebanese army to expel Palestinian forces from Lebanon,100000.0
521,Lebanon,Free Geagea movement,secure the release of Samir Geagea from the pro-Syria Lebanese government; expel Syria,2000.0
522,Lebanon,End Kidnapping movement,convince kidnappers to stop political kidnappings,10000.0
523,Colombia,Revolutionary Armed Forces of Colombia/Revolutionary Armed Forces of Colombia-People's Army/Patriotic Union,replace Colombian regime with communist state,18000.0
524,Philippines,New People's Army (NPA) ,establish Maoist state,30000.0
525,Iran; Pakistan,Soldiers of Allah,establish independent Balochi-Islamist state,2000.0
526,Israel/disputed territories,Islamic Resistance Movement (Hamas),replace Israel with Islamist-Palestinian state,440409.0
527,South Korea,April Revolution [bloc: multiple student associations; Democratic Party],oust Rhee from power,100000.0
528,Sri Lanka,Tamil Peoples Liberation Tigers,integrate Tamils into Sri Lankan political system,6000.0
529,Pakistan,Army of Jhangvi,eliminate Shi'a presence in Pakistan,900.0
530,Lebanon,Black Brigade,obtain information on Musa al-Sadr's death,10.0
531,Ethiopia,Tigray People's Liberation Front (TPLF)/Woyane/Tigrayan National Organization (TNO),replace regime; establish independent Tigrai state,21000.0
532,Turkey/Middle East,Kurdistan Workers' Party/People's Liberation Army of Kurdistan ,establish Socialist-Kurdish state,17000.0
